row_id,target,role,split_seed
0,7,train,42
1,3,train,42
2,2,train,42
3,1,train,42
4,4,validation,42
5,4,train,42
6,7,train,42
7,7,train,42
8,0,train,42
9,0,validation,42
10,4,train,42
11,5,train,42
12,5,train,42
13,1,train,42
14,3,train,42
15,7,validation,42
16,2,train,42
17,2,validation,42
18,7,validation,42
19,6,train,42
20,9,train,42
21,7,validation,42
22,8,validation,42
23,4,train,42
24,1,validation,42
25,4,train,42
26,2,train,42
27,5,validation,42
28,3,train,42
29,7,train,42
30,6,train,42
31,5,train,42
32,9,train,42
33,8,train,42
34,4,train,42
35,8,train,42
36,7,train,42
37,1,train,42
38,8,train,42
39,6,validation,42
40,1,validation,42
41,8,train,42
42,1,train,42
43,8,train,42
44,5,validation,42
45,1,validation,42
46,5,train,42
47,4,train,42
48,8,train,42
49,7,train,42
50,9,train,42
51,5,train,42
52,4,validation,42
53,5,validation,42
54,0,train,42
55,3,train,42
56,0,train,42
57,9,train,42
58,2,train,42
59,8,train,42
60,0,validation,42
61,2,train,42
62,1,validation,42
63,1,train,42
64,4,train,42
65,0,train,42
66,7,train,42
67,2,validation,42
68,0,train,42
69,4,train,42
70,8,validation,42
71,9,train,42
72,4,train,42
73,3,train,42
74,9,train,42
75,0,train,42
76,3,train,42
77,7,train,42
78,5,train,42
79,1,train,42
80,6,train,42
81,8,train,42
82,4,train,42
83,1,train,42
84,6,train,42
85,2,train,42
86,0,train,42
87,6,train,42
88,5,train,42
89,0,train,42
90,7,train,42
91,8,train,42
92,3,validation,42
93,4,train,42
94,6,validation,42
95,8,validation,42
96,5,train,42
97,8,train,42
98,8,validation,42
99,3,train,42
100,2,train,42
101,0,train,42
102,3,train,42
103,7,validation,42
104,2,train,42
105,5,validation,42
106,0,train,42
107,4,train,42
108,3,train,42
109,7,train,42
110,2,train,42
111,3,train,42
112,3,validation,42
113,5,train,42
114,8,validation,42
115,5,train,42
116,4,train,42
117,7,train,42
118,6,train,42
119,3,train,42
120,9,train,42
121,4,validation,42
122,5,validation,42
123,3,train,42
124,9,train,42
125,8,validation,42
126,5,train,42
127,3,train,42
128,7,train,42
129,9,train,42
130,3,train,42
131,0,train,42
132,5,train,42
133,7,train,42
134,5,train,42
135,1,train,42
136,2,train,42
137,0,validation,42
138,2,train,42
139,0,validation,42
140,0,train,42
141,5,validation,42
142,1,train,42
143,7,train,42
144,3,train,42
145,8,train,42
146,1,train,42
147,3,train,42
148,8,train,42
149,1,validation,42
150,7,validation,42
151,5,train,42
152,8,train,42
153,6,train,42
154,8,train,42
155,6,train,42
156,4,train,42
157,6,train,42
