row_id,target,role,split_seed
0,7,train,2024
1,3,train,2024
2,2,train,2024
3,1,train,2024
4,4,train,2024
5,4,train,2024
6,7,train,2024
7,7,validation,2024
8,0,train,2024
9,0,train,2024
10,4,validation,2024
11,5,train,2024
12,5,train,2024
13,1,train,2024
14,3,train,2024
15,7,train,2024
16,2,train,2024
17,2,train,2024
18,7,train,2024
19,6,train,2024
20,9,train,2024
21,7,train,2024
22,8,train,2024
23,4,train,2024
24,1,train,2024
25,4,train,2024
26,2,train,2024
27,5,train,2024
28,3,train,2024
29,7,validation,2024
30,6,train,2024
31,5,validation,2024
32,9,train,2024
33,8,train,2024
34,4,train,2024
35,8,train,2024
36,7,train,2024
37,1,train,2024
38,8,validation,2024
39,6,validation,2024
40,1,train,2024
41,8,validation,2024
42,1,validation,2024
43,8,train,2024
44,5,train,2024
45,1,train,2024
46,5,train,2024
47,4,validation,2024
48,8,train,2024
49,7,train,2024
50,9,train,2024
51,5,train,2024
52,4,train,2024
53,5,train,2024
54,0,train,2024
55,3,train,2024
56,0,validation,2024
57,9,validation,2024
58,2,train,2024
59,8,train,2024
60,0,validation,2024
61,2,train,2024
62,1,train,2024
63,1,validation,2024
64,4,train,2024
65,0,train,2024
66,7,train,2024
67,2,train,2024
68,0,validation,2024
69,4,validation,2024
70,8,train,2024
71,9,train,2024
72,4,train,2024
73,3,validation,2024
74,9,train,2024
75,0,validation,2024
76,3,train,2024
77,7,train,2024
78,5,train,2024
79,1,train,2024
80,6,train,2024
81,8,train,2024
82,4,train,2024
83,1,train,2024
84,6,validation,2024
85,2,train,2024
86,0,validation,2024
87,6,train,2024
88,5,train,2024
89,0,train,2024
90,7,validation,2024
91,8,train,2024
92,3,train,2024
93,4,train,2024
94,6,train,2024
95,8,train,2024
96,5,train,2024
97,8,validation,2024
98,8,train,2024
99,3,train,2024
100,2,train,2024
101,0,train,2024
102,3,train,2024
103,7,validation,2024
104,2,train,2024
105,5,train,2024
106,0,validation,2024
107,4,train,2024
108,3,train,2024
109,7,train,2024
110,2,train,2024
111,3,validation,2024
112,3,train,2024
113,5,train,2024
114,8,train,2024
115,5,validation,2024
116,4,train,2024
117,7,train,2024
118,6,train,2024
119,3,train,2024
120,9,train,2024
121,4,train,2024
122,5,train,2024
123,3,train,2024
124,9,train,2024
125,8,train,2024
126,5,train,2024
127,3,train,2024
128,7,train,2024
129,9,train,2024
130,3,validation,2024
131,0,validation,2024
132,5,validation,2024
133,7,train,2024
134,5,train,2024
135,1,train,2024
136,2,validation,2024
137,0,train,2024
138,2,train,2024
139,0,validation,2024
140,0,train,2024
141,5,train,2024
142,1,train,2024
143,7,train,2024
144,3,train,2024
145,8,train,2024
146,1,train,2024
147,3,train,2024
148,8,train,2024
149,1,train,2024
150,7,train,2024
151,5,train,2024
152,8,train,2024
153,6,train,2024
154,8,train,2024
155,6,train,2024
156,4,validation,2024
157,6,train,2024
158,9,train,2024
159,8,train,2024
160,0,train,2024
161,2,train,2024
162,8,train,2024
163,5,train,2024
164,4,validation,2024
165,5,validation,2024
166,7,train,2024
167,0,train,2024
168,7,train,2024
169,4,train,2024
170,3,train,2024
171,4,train,2024
172,6,train,2024
173,7,train,2024
174,3,train,2024
175,5,train,2024
176,0,train,2024
177,0,train,2024
178,8,train,2024
179,1,train,2024
180,0,train,2024
181,2,train,2024
182,7,train,2024
183,3,train,2024
184,6,train,2024
185,1,train,2024
186,9,validation,2024
187,7,validation,2024
188,6,train,2024
189,8,train,2024
