row_id,target,role,split_seed
0,7,validation,2025
1,3,train,2025
2,2,train,2025
3,1,train,2025
4,4,train,2025
5,4,train,2025
6,7,train,2025
7,7,validation,2025
8,0,train,2025
9,0,train,2025
10,4,train,2025
11,5,train,2025
12,5,train,2025
13,1,train,2025
14,3,train,2025
15,7,train,2025
16,2,validation,2025
17,2,train,2025
18,7,train,2025
19,6,train,2025
20,9,validation,2025
21,7,validation,2025
22,8,train,2025
23,4,train,2025
24,1,validation,2025
25,4,train,2025
26,2,train,2025
27,5,train,2025
28,3,train,2025
29,7,train,2025
30,6,train,2025
31,5,train,2025
32,9,train,2025
33,8,validation,2025
34,4,train,2025
35,8,train,2025
36,7,train,2025
37,1,validation,2025
38,8,validation,2025
39,6,train,2025
40,1,train,2025
41,8,train,2025
42,1,train,2025
43,8,train,2025
44,5,train,2025
45,1,train,2025
46,5,validation,2025
47,4,train,2025
48,8,train,2025
49,7,train,2025
50,9,validation,2025
51,5,train,2025
52,4,train,2025
53,5,train,2025
54,0,train,2025
55,3,validation,2025
56,0,train,2025
57,9,train,2025
58,2,train,2025
59,8,validation,2025
60,0,train,2025
61,2,train,2025
62,1,train,2025
63,1,validation,2025
64,4,validation,2025
65,0,train,2025
66,7,train,2025
67,2,train,2025
68,0,train,2025
69,4,validation,2025
70,8,train,2025
71,9,train,2025
72,4,validation,2025
73,3,train,2025
74,9,train,2025
75,0,train,2025
76,3,train,2025
77,7,train,2025
78,5,train,2025
79,1,train,2025
80,6,train,2025
81,8,train,2025
82,4,train,2025
83,1,train,2025
84,6,train,2025
85,2,train,2025
86,0,train,2025
87,6,train,2025
88,5,train,2025
89,0,train,2025
90,7,train,2025
91,8,train,2025
92,3,validation,2025
93,4,train,2025
94,6,validation,2025
95,8,train,2025
96,5,validation,2025
97,8,train,2025
98,8,train,2025
99,3,validation,2025
100,2,train,2025
101,0,validation,2025
102,3,train,2025
103,7,train,2025
104,2,train,2025
105,5,train,2025
106,0,train,2025
107,4,validation,2025
108,3,train,2025
109,7,validation,2025
110,2,train,2025
111,3,train,2025
112,3,train,2025
113,5,validation,2025
114,8,validation,2025
115,5,train,2025
116,4,train,2025
117,7,validation,2025
118,6,train,2025
119,3,train,2025
120,9,train,2025
121,4,train,2025
122,5,train,2025
123,3,train,2025
124,9,validation,2025
125,8,train,2025
126,5,train,2025
127,3,train,2025
128,7,validation,2025
129,9,validation,2025
130,3,train,2025
131,0,train,2025
132,5,train,2025
133,7,train,2025
134,5,validation,2025
135,1,validation,2025
136,2,train,2025
137,0,validation,2025
138,2,validation,2025
139,0,train,2025
140,0,validation,2025
141,5,validation,2025
142,1,validation,2025
143,7,train,2025
144,3,train,2025
145,8,train,2025
146,1,train,2025
147,3,validation,2025
148,8,train,2025
149,1,train,2025
150,7,validation,2025
151,5,train,2025
152,8,train,2025
153,6,train,2025
154,8,train,2025
155,6,train,2025
156,4,train,2025
157,6,train,2025
158,9,train,2025
159,8,train,2025
160,0,train,2025
161,2,train,2025
162,8,train,2025
163,5,train,2025
164,4,train,2025
165,5,train,2025
166,7,train,2025
167,0,train,2025
168,7,train,2025
169,4,train,2025
170,3,train,2025
171,4,validation,2025
172,6,train,2025
173,7,train,2025
174,3,train,2025
175,5,train,2025
176,0,validation,2025
177,0,train,2025
178,8,train,2025
179,1,validation,2025
180,0,train,2025
181,2,train,2025
182,7,train,2025
183,3,train,2025
184,6,validation,2025
185,1,train,2025
186,9,train,2025
187,7,train,2025
188,6,train,2025
189,8,validation,2025
190,5,train,2025
191,3,validation,2025
192,0,validation,2025
193,2,train,2025
194,9,train,2025
195,7,validation,2025
196,3,validation,2025
197,2,train,2025
198,6,train,2025
199,0,train,2025
200,8,train,2025
201,9,train,2025
202,9,train,2025
203,4,validation,2025
204,0,train,2025
205,1,train,2025
206,3,train,2025
207,5,validation,2025
208,7,train,2025
209,7,validation,2025
210,9,train,2025
211,3,train,2025
212,0,train,2025
213,3,validation,2025
214,7,train,2025
215,4,train,2025
216,0,train,2025
217,9,train,2025
218,9,validation,2025
219,7,validation,2025
220,6,train,2025
221,3,train,2025
222,2,validation,2025
223,3,train,2025
224,3,validation,2025
225,1,train,2025
226,8,train,2025
227,5,train,2025
228,3,train,2025
229,2,train,2025
230,6,validation,2025
231,8,train,2025
232,1,train,2025
233,7,train,2025
234,4,train,2025
235,9,train,2025
236,7,train,2025
237,0,train,2025
238,3,train,2025
239,0,validation,2025
240,8,train,2025
241,3,train,2025
242,7,train,2025
243,3,train,2025
244,0,validation,2025
245,5,train,2025
246,8,train,2025
247,5,train,2025
248,8,train,2025
249,9,train,2025
250,9,train,2025
251,0,validation,2025
